  -56.1745119,-34.8703081,0
-56.1903154,-34.8712945,0
-56.2012053,-34.8720509,0
-56.2103033,-34.8744803,0
-56.2118482,-34.8746916,0
-56.2106466,-34.8755366,0
-56.2026643,-34.8803951,0
-56.1987376,-34.8839507,0
-56.1984425,-34.8844832,0
-56.1979758,-34.8877791,0
-56.1974394,-34.8884347,0
-56.1961304,-34.8891608,0
-56.1957335,-34.8897196,0
-56.1956155,-34.890384,0
-56.1954117,-34.8924565,0
-56.1928796,-34.8923641,0
-56.1912113,-34.8922365,0
-56.1903395,-34.8921639,0
-56.189382,-34.8921089,0
-56.1888671,-34.8918933,0
-56.1873597,-34.8923971,0
-56.1871452,-34.8924741,0
-56.1865819,-34.8923465,0
-56.1864182,-34.8921023,0
-56.1860936,-34.8916006,0
-56.1846291,-34.8914367,0
-56.1852354,-34.889878,0
-56.1854553,-34.8892818,0
-56.1862492,-34.8889407,0
-56.1835241,-34.8837043,0
-56.1814642,-34.8799022,0
-56.1796135,-34.8764211,0
-56.1745119,-34.8703081,0
